dist_case_num,circ_case_num
6B02024392,109245020/21
1B02152172,112012039-40
3B02137775,211307017-23
3B02148142,512009009-10
5B02144413,211342008-9
6B02183558,"112270010,12"
1B02227429,"113197021,22"
2B02213682,113080022-23
2B02216790,113107024-26
3B02210470,113080030-33
5B02208029,113044010-11
5B02216660,"113107028,29"
4B02240872,113303014-15
2B02283654,114349040-42
2B02283766,114349034-36
3B02266442,114162006-00
6B02283560,114349037-39
0B01961057,"108211006,08"
5B02013065,109162020-22
6B02019366,"109189017,18"
0B02052239,"110032026,27"
5B01952305,"108169013,14"
0B01945713,108185035-37
1B01961065,"108217006,9"
1B01987574,108340022-23
2B01955935,"108199007,09"
6B01963506,108221026-29
6B01963513,108221027-30
2B02015218,"109160045,46"
3B02002199,"109076016,18"
0B02037868,"109313021,25"
1B02012676,"109155033,35"
1B02037869,"109313022,26"
1B02038044,"109313018,23"
2B02046207,"109349006,08"
2B02046760,"109363031,32"
5B02015361,"109155034,36"
6B02002293,"109076020,22"
6B02038490,"109313019,24"
6B02045924,"109349005,07"
0B02085545,"110245026,27"
0B02094701,11031622-23
1B02085469,110232010-12
1B02091216,110309047-49
2B02068852,"110161037,38"
4B02090820,"110281038,40"
5B02094727,110327036-37
6B02094119,"110307006,08"
0B02121602,111167017-18
4B02121648,111167019-20
4B02148213,111346017-18
1B02132201,111245024-26
2B02115080,111116004-05
2B02144410,111308020-22
3B02146679,"211361002,03"
4B02152378,112023013-14
5B02146758,"211361004,05"
6B02130246,511237002-03
6B02146101,111312021-23
6B02146101,111321021-23
6B02146724,"211361006,07"
6B02152142,112004004-05
2B02175175,112185053-54
3B02153224,112026019-20
3B02175498,112185055-56
0B02241295,113312014-15
0B02245194,113336023-24
1B02242850,113329081-82
2B02241297,113312016-17
5B02228910,113211014-15
5B02245570,113330016-18
6B02240531,113301016-17
6B02245193,113338025-26
6B02245298,113330013-15
4B02270384,114230007-08
1B02250935,114035014-16
1B02252258,114042024-25
2B02262437,114129032-33
3B02252225,114042022-23
1B01928984,"108098002,4"
4B01921490,108052036/38
6B01945292,"209041013,14"
1B01946855,"108317056,57"
1B01965986,"108248006,7"
1B01977032,108270032/33
2B01988037,"108322033,34"
5B01949806,"108137005,7"
6B01973327,"108263054,55"
0B01940820,"108098003,5"
3B02015681,"109167010,12"
4B02011041,"109110006,07"
2B02008736,"109111015,18"
2B02012026,"109147012,13"
5B02003307,"109070018,19"
5B02007584,"109111016,19"
1B02009470,109140037-43
5B01927196,"109020011,13"
0B02062648,"110123022,23"
1B02071154,110181024-29
2B02071162,110181025-27
2B02077826,110174018-19
2B02080038,110224040-42
3B02076238,110190031-33
0B02084873,210263001-06
0B02110122,"111095036,37"
2B02128912,111216020-21
4B02110119,"111095031,33"
6B02105781,"211088003,04"
0B02182376,"112236015,16"
1B02232014,113239003-04
0B02280607,"114282010,11"
6B02280606,"114287033,34"
5B01937934,208127001-02
6B01928030,208112029/30
0B01973573,"108288016,18"
2B01955578,108200011-13
3B01951267,108197001/02
3B01973996,"108284020,21"
6B01974062,"108261029,32"
0B01974133,"108261028,31"
2B01884248,208172028-31
2B01973519,"108288017,19"
1B02027509,"209294023,24"
2B02035091,"109292048,49"
3B02040454,"109328015,16"
4B02015997,1091700021-2
4B02018293,109170020-22
5B02025301,"109240026,28"
5B02026162,109261032-34
1B01997675,"209105011,13"
1B02088031,110274046-49
1B01993104,109009014-15
4B01992617,"109029008,09"
5B02085585,"210293001,02"
2B02077126,210257006-08
2B02093324,110312010-11
3B02076987,210257007-09
6B02084963,"210273010,11"
1B02120686,111171022-24
3B02139854,211325001-02
5B02107859,"211089019,20"
1B02161573,112090028-31
1B02161195,"112083018,19"
6B02240881,"113303012,13"
6B02255091,414065022-0
3B02064072,"110119001,03"
5B02058215,110090014-16
2B02283836,"114321036,37"
4B02250546,114023001-02
3B01933137,108056031-34
4B01937975,108088022-23
5B02067896,"110155029,30"
