County,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,TOTAL
MARYLAND,815,694,731,649,671,799,858,1041,1259,2089,9606
"
NORTHWEST AREA",54,53,53,58,65,67,86,96,131,214,877
GARRETT,1,3,3,3,2,0,6,2,5,1,26
ALLEGANY,14,9,9,15,12,14,15,12,22,59,181
WASHINGTON,16,26,18,20,21,27,28,40,64,66,326
FREDERICK,23,15,23,20,30,26,37,42,40,88,344
"
BALTIMORE METRO AREA",550,443,479,411,420,519,557,678,841,1402,6300
BALTIMORE CITY,287,184,239,172,167,225,246,305,393,694,2912
BALTIMORE COUNTY,131,118,106,115,107,119,144,170,220,336,1566
ANNE ARUNDEL,71,70,63,56,79,83,78,101,112,195,908
CARROLL,14,17,22,15,8,29,24,38,40,47,254
HOWARD,16,19,16,10,21,24,29,21,26,46,228
HARFORD,31,35,33,43,38,39,36,43,50,84,432
"
NATIONAL CAPITAL AREA",109,104,103,81,86,104,111,128,140,231,1197
MONTGOMERY,56,46,44,38,44,48,52,65,70,102,565
PRINCE GEORGE'S,53,58,59,43,42,56,59,63,70,129,632
"
SOUTHERN AREA",33,36,34,31,31,37,25,47,59,88,421
CALVERT,14,9,14,6,12,12,6,17,20,28,138
CHARLES,13,16,11,13,11,13,9,21,22,45,174
ST. MARY'S,6,11,9,12,8,12,10,9,17,15,109
"
EASTERN SHORE AREA",69,58,62,68,69,72,79,92,88,154,811
CECIL,25,10,24,24,28,25,26,29,32,30,253
KENT,3,4,2,5,2,0,4,6,3,6,35
QUEEN ANNE'S,4,5,4,4,5,2,8,10,4,8,54
CAROLINE,1,4,2,2,11,4,2,7,3,10,46
TALBOT,5,4,3,3,1,5,7,4,5,10,47
DORCHESTER,4,5,2,6,2,5,5,0,1,6,36
WICOMICO,9,13,12,13,11,21,17,20,18,48,182
SOMERSET,6,3,4,1,3,3,4,3,6,8,41
WORCESTER,12,10,9,10,6,7,6,13,16,28,117
"   1Includes deaths that were the result of recent ingestion or exposure to alcohol or another type of drug, including heroin, cocaine, prescription opioids, benzodiazepines, and other prescribed and 
unprescribed drugs.",,,,,,,,,,,
   2Includes only deaths for which the manner of death was classified as accidental or undetermined.,,,,,,,,,,,
